,filename,domain,Complexity,Aesthetics,Orderliness,VA_PNG,VA_JPEG ,elements,elem. types,visual complex,edge congestion,unique RGB,HSVcolours (avg Hue),HSVcolours (avg Saturation),HSVcolours (std Saturation),HSVcolours (avg Value),HSVcolours (std Value),HSVspectrum (HSV),HSVspectrum (Hue),HSVspectrum (Saturation),HSVspectrum (Value),Hassler-Susstrunk (dist A),Hassler-Susstrunk (std A),Hassler-Susstrunk (dist B),Hassler-Susstrunk (std B),Hassler-Susstrunk (dist RGYB),Hassler-Susstrunk (std RGYB),Hassler-Susstrunk (Colorfulness),Static clusters,DynamicCC (clusters),DynamicCC (avg cluster colors),QuadtreeDec (balance),QuadtreeDec (symmetry),QuadtreeDec (equilibrium),QuadtreeDec (leaves),whitespace,grid quality,edge density,LABcolours (mean Lightness),LABcolours (std Lightness),LABcolours (mean A),LABcolours (std A),LABcolours (mean B),LABcolours (std B),Luminance std,FG contrast,pixel symmetry
1309,foreign-29.png,foreign,3.375,2.875,3.25,576437,671319,,,,0.236664747,11106,18.2310604,0.220923488,0.305800012,0.671160425,0.344343171,11293,20047,19577,256,15.61098099,29.26284481,21.59849612,37.70217181,26.64953587,47.72596616,55.72082692,4301,534,13,0.892228882,0.643412772,0.999820678,3253,0.16386795,124,0.189291636,63.79728464,35.07673521,-0.29198566,9.004629214,1.319970066,18.4393587,90.46995638,0.988023232,0.4438556
1310,foreign-3.png,foreign,4.1429,3.4286,5.2857,335122,558812,17,3,514.42,0.28642549,6324,210.1950364,0.345227895,0.141739081,0.774637409,0.122869037,9507,13964,17663,256,29.30698903,13.06123878,50.53220749,16.47929078,58.41578211,21.02767184,38.55240647,3097,444,12,0.786937893,0.554848981,0.99976239,2455,0.491778056,109,0.127389272,65.99975286,13.53699049,-1.765252953,6.14755322,-18.2804214,14.56919974,35.38308843,1.109148666,0.512182783
1311,foreign-30.png,foreign,4.75,2.75,3.5,456784,685563,28,3,860.37,0.271820672,7915,350.8075276,0.140797422,0.256617041,0.874650634,0.212373357,9515,16370,17726,256,11.77131526,21.34304775,17.79990069,33.18119567,21.34011077,39.45272403,45.85475726,3526,446,13,0.673424329,0.559982568,0.999767504,2509,-0.569271088,192,0.185358683,83.47361351,23.86809992,1.472863188,6.451266649,-4.008951893,15.38746068,63.93551586,0.970542976,0.250014145
1312,foreign-31.png,foreign,4.25,2.25,3.25,504842,668535,28,4,1083.64,0.253800697,5730,348.3820818,0.335769293,0.367545894,0.757022648,0.242331975,6846,17433,19302,256,27.73249817,35.76929615,33.38096491,37.62280221,43.39792937,51.91259763,64.93197644,3764,309,11,0.911964406,0.555780877,0.999784031,2701,0.29961141,101,0.186766307,67.40320605,31.11626678,7.145564958,13.66684451,-1.786795403,22.99510718,85.12898322,0.948614451,0.384140625
1313,foreign-32.png,foreign,6,3.1667,3.5,553852,854409,35,5,1601.34,0.281437546,7186,350.7402222,0.213278194,0.344780316,0.821142104,0.282636733,9238,23573,19779,256,22.4920311,58.43008346,20.02004941,35.44796145,30.11135735,68.34202678,77.37543399,4919,413,13,0.864900056,0.561729455,0.999800433,2923,0.329858144,163,0.176086426,76.15367751,32.32759777,7.227099816,20.31756802,0.707217669,20.88054206,89.04175835,0.992218096,0.562902088
1314,foreign-33.png,foreign,3.875,2.375,2.625,479623,820907,45,3,1401.28,0.31401891,4574,359.1624599,0.108314293,0.244211522,0.809175638,0.322218493,5970,22885,17655,256,9.53277715,33.1043722,10.94896889,28.94303071,14.51736064,43.97270159,48.32790978,3321,286,12,0.895135289,0.627873296,0.999755518,2386,0.461179097,192,0.172982534,78.82081205,32.87392693,2.204235625,12.17718276,3.257152455,14.23631665,86.32341343,0.983364103,0.330910792
1315,foreign-34.png,foreign,4.7143,3.1429,3.2857,645457,723036,37,3,1141.42,0.311826788,10907,345.2533693,0.139767846,0.244566231,0.79818568,0.309391477,10575,19133,19113,256,14.26639684,30.14275975,8.021647771,20.16704881,16.36694571,36.26700736,41.17709108,4060,489,12,0.834085041,0.589494083,0.999792112,2806,0.513369242,113,0.166519165,76.36796122,32.31499889,4.581361729,12.38654625,-1.328857222,9.68845804,84.07399367,0.978569581,0.458790362
1316,foreign-35.png,foreign,4.5,3.1,3.8,530613,790048,42,4,1645.69,0.287092368,7372,215.6463012,0.336453802,0.393162323,0.76580465,0.270537964,10435,27132,20961,256,51.68756485,68.44251279,35.87298648,45.37384307,62.91641693,82.1167656,100.9916907,5401,452,12,0.890887676,0.610306857,0.999815751,3166,0.109568278,76,0.182172139,71.66633312,27.7309184,-6.787380564,17.40253362,-4.767378435,15.90261173,73.67920071,1.035034304,0.556019349
1317,foreign-36.png,foreign,1.7143,2.2857,4.7143,78401,280918,14,4,506.79,0.28373553,1149,327.995741,0.047226388,0.110623977,0.935094342,0.141989787,2858,1496,4862,256,3.98284022,8.594613728,5.917881648,12.08760373,7.133325972,14.83164014,16.97163793,335,127,12,0.71111679,0.551279339,0.99964986,1666,-0.157634735,101,0.084977468,92.40958158,16.00778285,-0.477986778,1.405612907,-2.440039436,5.223296365,43.77593877,0.99393808,0.49987008
1318,foreign-37.png,foreign,3,2.8,2.6,314865,488682,33,3,988.46,0.286485819,5338,2.785994333,0.132301071,0.289773945,0.825626737,0.279541308,6430,13997,16061,256,8.868637085,26.882572,15.10164642,48.7681776,17.51320783,55.68669342,60.94065577,2812,313,11,0.769163924,0.561980433,0.99968089,1828,0.648460388,131,0.132443746,80.76231082,29.26617618,2.359840133,11.57171967,4.352183232,19.61586634,77.87775759,1.035681143,0.530899033
1319,foreign-38.png,foreign,4.5,2,3,504642,844095,35,6,1781.16,0.319482306,3539,323.2854403,0.27332621,0.39101575,0.723271229,0.353519042,7786,23568,19121,256,9.824362437,18.71127847,20.55552737,36.6985675,22.78262063,41.19340722,48.02819341,4560,360,13,0.85233744,0.611980615,0.999794962,2845,-0.137891134,96,0.197141012,67.85283294,38.59664115,1.799348086,8.892012461,-3.376823773,18.7565832,99.14266229,1.049180195,0.334625487
1320,foreign-39.png,foreign,4.1667,2.1667,3,246292,363175,,,,0.295188668,1956,1.793027878,0.020236996,0.095587445,0.914702407,0.142058519,2054,7389,10583,256,2.14965566,11.75316877,2.725411733,13.81207818,3.4711509,18.13588928,19.17723455,1263,88,11,0.416005866,0.472895325,0.998680241,442,0.439834595,173,0.134835561,91.73589617,14.11886101,-0.315661109,5.760369085,1.051245973,7.330945344,38.41617426,0.916717039,0.400471059
1321,foreign-4.png,foreign,4.2857,1.7143,2.8571,144171,297392,5,3,144.09,0.297956425,958,356.7688641,0.028738375,0.101753869,0.459251234,0.125868688,3298,5495,13004,256,2.028069814,7.458537579,3.682002385,14.53580878,4.20359474,16.33767179,17.59875022,1368,159,12,0.265135812,0.518904576,0.999346039,892,-0.005976359,16,0.054276784,47.98492382,10.2971631,0.049365565,1.925267393,-1.414573753,6.57894965,27.1886219,1.571046229,1.980905731
