,filename,domain,Complexity,Aesthetics,Orderliness,VA_PNG,VA_JPEG,elements,elem. types,visual complex,edge congestion,unique RGB,HSVcolours (avg Hue),HSVcolours (avg Saturation),HSVcolours (std Saturation),HSVcolours (avg Value),HSVcolours (std Value),HSVspectrum (HSV),HSVspectrum (Hue),HSVspectrum (Saturation),HSVspectrum (Value),Hassler-Susstrunk (dist A),Hassler-Susstrunk (std A),Hassler-Susstrunk (dist B),Hassler-Susstrunk (std B),Hassler-Susstrunk (dist RGYB),Hassler-Susstrunk (std RGYB),Hassler-Susstrunk (Colorfulness),Static clusters,DynamicCC (clusters),DynamicCC (avg cluster colors),QuadtreeDec (balance),QuadtreeDec (symmetry),QuadtreeDec (equilibrium),QuadtreeDec (leaves),whitespace,grid quality,count
1144,pantrytoplate-net.png,food,2.4,5.0,4.6,754681,686497.0,20.0,5.0,900.39,0.20616762600000002,26507.0,19.43166291,0.153936337,0.207436864,0.859273563,0.196448683,26577.0,10109.0,15432.0,256.0,13.88172222,20.1932923,18.84263715,23.45910035,23.40399937,30.95316532,37.97436513,2273.0,1329.0,13.0,0.681249407,0.522706252,0.999744528,2371.0,0.33726215299999995,80.0,5
1145,itslivb-com-.png,food,2.75,5.0,4.25,766120,576760.0,15.0,5.0,666.54,0.23655727,11846.0,4.996434731,0.137594625,0.20867535,0.839770452,0.176176291,13085.0,14948.0,20024.0,256.0,15.20099219,18.07555182,15.33262023,25.12942715,21.59072501,30.95502677,37.43224427,4439.0,616.0,13.0,0.31665576100000004,0.45120272200000006,0.999676692,1873.0,0.560096354,71.0,4
1146,m-healthyfood-webnode-com-.png,food,2.25,1.75,2.75,213941,261027.0,31.0,5.0,1295.19,0.265332662,4690.0,1.93996833,0.088201105,0.270643958,0.470809545,0.456872713,5096.0,9235.0,6457.0,256.0,6.2877725689999995,20.69611472,7.674217014,28.5400108,9.921173855,35.25423919,38.23059135,1038.0,258.0,11.0,0.29837175899999996,0.45290365899999996,0.9987406990000001,481.0,-0.011532118000000001,19.0,4
1147,www-seriouseats-com-.png,food,6.0,5.25,5.5,1222151,1076643.0,13.0,3.0,412.88,0.128468694,15262.0,4.1892415839999995,0.288305667,0.33077687,0.610317994,0.33257814199999997,20101.0,24365.0,20562.0,256.0,19.72863802,31.38849819,24.38478602,37.00908306,31.36617521,48.52741542,57.93726799,6408.0,999.0,12.0,0.9221890540000001,0.589244989,0.9998177140000001,3322.0,0.307169271,46.0,4
1148,www-your-healthyfood-com-.png,food,3.25,3.25,3.75,1245618,946483.0,27.0,3.0,849.56,0.162475059,22061.0,30.62555701,0.45883686700000004,0.36033431899999996,0.672266047,0.244653227,21181.0,27451.0,21633.0,256.0,37.62227951,34.79747677,44.70650521,39.9270177,58.43036474,52.96254462,70.49165404,6605.0,1004.0,11.0,0.9147393840000001,0.59818555,0.9998115879999999,3214.0,0.175528646,58.0,4
1149,www-waitrose-com-home-recipes-html.png,food,4.2,3.2,3.6,837107,941380.0,51.0,7.0,2841.23,0.386302589,7816.0,4.024532579,0.125950153,0.261180923,0.846952842,0.267198123,6864.0,27559.0,20885.0,256.0,8.71441059,25.19759152,10.85934071,26.51730413,13.92358548,36.57985835,40.75693399,6553.0,350.0,12.0,0.71533062,0.548478668,0.9995856879999999,1462.0,0.636514757,176.0,5
1150,www-giverecipe-com-.png,food,2.25,5.25,5.0,952111,695383.0,7.0,4.0,271.7,0.163287589,7604.0,0.408783602,0.128893359,0.231396155,0.707021143,0.371877391,10892.0,16154.0,18349.0,256.0,8.393997396,18.47862075,8.180711372000001,17.17511666,11.72105929,25.2278429,28.74416068,4184.0,545.0,12.0,0.55273907,0.573677734,0.999678238,1882.0,0.35319097200000005,52.0,4
1151,www-kidspot-com-au-kitchen-.png,food,3.25,5.0,4.5,357556,458543.0,32.0,5.0,1397.37,0.25762526199999997,2547.0,1.679849666,0.072494873,0.207359711,0.941829528,0.15565095699999998,3641.0,18474.0,19006.0,256.0,9.0139375,30.58723837,6.684078125,19.25494943,11.22176321,36.14321829,39.50974726,4680.0,164.0,13.0,0.368510405,0.507263467,0.999524176,1273.0,0.724077257,119.0,4
1152,supervalu-ie-.png,food,3.25,4.5,4.0,1104872,990284.0,14.0,2.0,278.84,0.194359064,17466.0,15.40918064,0.389448859,0.36449917200000004,0.7392835990000001,0.22608013600000001,16722.0,23046.0,21250.0,256.0,56.11371094,62.87720238,28.06149262,29.43719497,62.73911,69.42687539,88.24860839,5089.0,804.0,14.0,0.8526042229999999,0.6124358089999999,0.99976178,2542.0,-0.124493924,38.0,4
1153,runningonrealfood-com.png,food,4.75,5.5,5.75,573158,467285.0,9.0,4.0,339.01,0.112627305,12240.0,18.20416533,0.102011511,0.201576877,0.906372787,0.18409823399999997,12908.0,9887.0,18589.0,255.0,7.561117188,13.60763996,12.27822179,24.10152926,14.41961246,27.67763679,32.00352052,2426.0,626.0,13.0,0.465232693,0.60991682,0.9996178929999999,1585.0,0.7018211809999999,98.0,4
